,Miconia.minutiflora,Miconia.ternatifolia,Miconia.splendens,Miconia.dolichorrhyncha,Miconia.wittii,Miconia.phanerostila,Miconia.duckei,Unknown,Tococa.discolor,Clidemia.hirta,Ossaea.cucullata,Clidemia.japurensis.var..heterobasis,Henriettea.sp.,Ossaea.araneifera,Unidentified,Tocoa.guianensis,Clidemia.epiphytica,Miconia.poeppigii,Miconia.tetragona,Loreya.arborescens,Psychotria.deflexa,Psychotria.alboviridula,Palicourea.punicea,Psychotria.spp.distrinct.form.other.listed,Other.Rubiaceae..3.distinct.taxa..not.identified.to.genus,Coussapoa.cf..parvifolia,Ficus.americana,Coussapoa.sp.,Clusia.sp...Guttiferae.,Unknown.Marcgraviaceae,Alchornea.triplinervia,Croton.schiedianus,Anthurium.acaule,Codonanthe.sp.,Sorocea.sp.,Iryanthera.grandis,Ficus.sp.
Catharus_ustulatus,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Machaeropterus_regulus,1,0,0,1,0,1,2,0,2,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Manacus_manacus,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Lepidothrix_coronata,4,4,2,0,1,0,4,0,0,0,3,0,1,0,2,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pipra_pipra,5,6,0,4,2,2,24,0,1,1,5,2,2,2,3,0,0,1,1,1,0,2,2,2,1,1,1,0,0,1,0,0,1,0,1,1,0
Tachyphonus_surinamus,0,0,0,1,1,0,4,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0
Tangara_schrankii,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1
