,Marcgravia.sp..301,Souroubea.guianensis,Coussapoa.villosa,Havetiopsis.flavida,Philodendron.cuneatum,Phytolacca.rivinoides
Catharus_ustulatus,0,1,1,0,0,0
Manacus_manacus,0,1,0,0,0,0
Lepidothrix_coronata,1,0,0,0,1,0
Pipra_pipra,5,1,0,5,1,3
Tachyphonus_surinamus,1,1,1,1,1,0
Tangara_schrankii,2,1,0,1,0,0
