,Halleria.lucida,Ficus.natalensis,Ficus.vogelii,Trema.orientalis,Antidesma.venosum,Bridelia.micrantha,Vepris.undulata,Apodytes.dimidiata,Sideroxylon.inerme,Euclea.natalensis,Mimusops.caffra,Strelitzia.nicholai,Trichilia.emetica,Dovyalis.longispina,Ekebergia.capensis,Erianthemum.dregei
Tauraco_porphyreolophus,0,18,11,0,2,12,0,0,4,3,5,0,2,8,13,0
Bycanistes_bucinator,0,5,173,0,0,0,0,0,0,0,0,0,2,0,10,0
Stactolaema_leucotis,13,15,259,0,3,12,0,0,4,8,0,5,0,2,14,0
Pogoniulus_bilineatus,44,116,86,92,36,6,62,30,38,27,3,10,41,27,5,141
Pycnonotus_barbatus,23,25,151,13,11,114,0,3,0,8,3,26,10,57,1,0
Chlorocichla_flaviventris,26,25,270,9,4,123,47,164,112,51,11,0,83,57,7,0
Andropadus_importunus,0,0,11,4,1,12,26,5,25,2,0,0,3,27,1,0
Lamprotornis_corruscus,16,8,22,4,0,3,0,20,2,0,3,0,29,12,12,0
Zosterops_pallidus,13,28,65,53,18,6,13,10,0,0,0,0,0,6,6,0
