,Aglaia.cf..verteeghi,Aporusa.cf..nigro.punctata,Canistrum.giganteum,Chisocheton.sp,Cissus.hypoglauca,Cissus.aristata,Dysoxylum.cf..macrothyrsum,Elmerrillia.papuana,Endospermum.medullosum,Ficus.drupacea,Ficus.gul,Ficus.odoardi,Ficus.202,Ficus.181,Ficus.217,Ficus.246,Ficus.275,Ficus.371,Gastonia.spectabilis,Glochidion.sp,Homalanthus.novoguineensis,Myristica.subaluata,Pandanus.conoideus,Piper.sp.,Schefflera.pachystyla,Sloanea.sogerensis,Sloanea.sogerensis.1,Sterculia,Syzygium,Uvaria.sp.,Zingiberaceae.sp
Manucodia_chalybatus,0,0,0,1,0,1,0,1,0,0,25,19,1,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Manucodia_keraudrenii,0,0,0,7,13,0,1,8,2,2,155,55,2,7,9,4,40,6,17,0,4,3,0,1,0,0,2,0,8,2,0
Ptiloris_magnificus,0,0,0,16,1,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,8,0,0,0,1,0,0,0,0,0,0
Epimachus_albertisi,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophorina_superba,0,1,0,23,1,0,0,2,9,0,1,1,0,0,0,0,2,4,0,0,17,0,2,0,0,0,2,0,0,0,0
Parotia_lawesii,1,0,0,10,2,0,1,2,2,0,12,6,0,2,0,0,1,4,22,0,10,3,0,0,47,0,2,1,1,0,0
Cicinnurus_magnificus,0,0,1,13,4,1,12,12,15,0,8,8,1,0,0,2,5,0,58,1,104,1,5,0,2,2,4,0,0,0,2
Paradisaea_raggiana,3,0,0,13,5,0,17,2,2,0,45,20,0,0,0,0,13,3,24,0,75,1,2,0,0,0,1,0,1,0,0
Paradisaea_rudolphi,0,0,0,3,3,0,0,0,0,0,1,0,0,1,0,0,4,7,3,0,23,0,1,0,10,0,0,0,0,0,1
